0,1,2,3
3847,646,Piz Costainas,Bergname
3788,647,Fuorcla Giavagl,Bergname
3847,648,Cuclèr da Jon dad Onsch,Bergname
3847,649,Munt da Milli Ons,Bergname
3788,651,Piz Casana,Bergname
3788,652,Piz Chaschauna,Bergname
3847,653,Piz Murtaröl,Bergname
3847,654,Cima la Casina,Bergname
3847,655,Fallaschkopf,Bergname
3847,656,Cima di Vallazza,Bergname
3785,657,Pass d'Alvra,Bergname
3785,658,Albulapass,Bergname
3788,659,Piz Trupchun,Bergname
3788,660,Punta Tropione,Bergname
3847,664,Piz Lad,Bergname
3847,665,Piz Mezdi,Bergname
3788,666,Fuorcla Trupchun,Bergname
3788,667,Passo Tropione,Bergname
3847,668,Fallaschjoch,Bergname
3847,669,Passo di Vallazza,Bergname
3847,671,Pizzet,Bergname
3847,673,Piz Pala Gronda,Bergname
3788,674,Piz dals Buochs,Bergname
3847,676,Piz dal Döss Radond,Bergname
3788,677,Fuorcla,Bergname
3847,679,Mon'Ata,Bergname
3788,680,Piz Murtiröl,Bergname
3847,681,Piz Minschuns,Bergname
3847,682,Schafberg,Bergname
3847,690,Piz Dora,Bergname
3746,692,Piz Serra,Bergname
3847,693,Crap Nair,Bergname
3746,694,Piz da l'Acqua,Bergname
3746,697,Fuorcla Val Sassa,Bergname
3746,702,Piz Murtarous,Bergname
3746,704,Fuorcla da l'Acqua,Bergname
3847,705,Fuorcla dal Gal,Bergname
3847,708,La Scharta,Bergname
3847,709,Pizzet,Bergname
3788,711,Botta Bruonza,Bergname
3847,713,Piz Daint,Bergname
3788,714,Piz d'Esan,Bergname
3746,715,Piz dal Diavel,Bergname
3788,716,Piz Griatschouls,Bergname
3847,717,Piz Chavalatsch,Bergname
3746,718,Piz Cotschen,Bergname
3788,719,Fuorcla Viluoch,Bergname
3746,720,Piz Quattervals,Bergname
3788,722,Piz Porchabella,Bergname
3746,723,Piz Tantermozza,Bergname
3847,724,Muntet,Bergname
3746,731,Piz Murter,Bergname
3746,732,Munt Chavagl,Bergname
3847,734,Minschuns,Bergname
3788,735,Piz Müsella,Bergname
3746,736,Muot sainza Bön,Bergname
3847,737,Pass da Costainas,Bergname
3847,740,Fuorcla Funtana da S-charl,Bergname
3847,742,Piz Cotschen,Bergname
3788,743,Piz Fourun,Bergname
3762,746,Mot Radond,Bergname
3788,754,Piz da l'Hom,Bergname
3746,758,Piz Terza,Bergname
3851,760,Gipshora,Bergname
3746,761,Piz Nair,Bergname
3762,763,Piz Murtera,Bergname
3746,765,Piz Punt Ota,Bergname
3847,767,Piz Vallatscha,Bergname
3788,768,Fuorcla Punt Ota,Bergname
3762,769,Lorenziberg,Bergname
3851,770,Chlein Dukan,Bergname
3851,771,Ducan Pitschen,Bergname
3851,772,Dukanfurgga,Bergname
3851,773,Fuorcla digl Ducan,Bergname
3788,774,Sertigpass,Bergname
3851,775,Chrummhüreli,Bergname
3788,776,Passhöreli,Bergname
3762,777,Fuorcla d'Astras,Bergname
3847,778,Fuorcla Val Nüglia,Bergname
3788,779,Chüealphora,Bergname
3762,780,Piz d'Astras,Bergname
3851,782,Chrachehore,Bergname
3788,783,Piz Vadret Pitschen,Bergname
3746,784,Piz dal Fuorn,Bergname
3847,785,Piz Tavrü,Bergname
3746,787,Piz Vadret,Bergname
3851,788,Hoch Dukan,Bergname
3851,789,Piz Ducan,Bergname
3851,790,Fanezfurgga,Bergname
3851,791,Augschtehüreli,Bergname
3851,792,Plattaflue,Bergname
3746,793,Piz Sarsuret,Bergname
3746,794,Fuorcla Barlas-ch,Bergname
3847,795,Piz Stabelchod,Bergname
3788,796,Fuorcla Vallorgia,Bergname
3851,797,Cuolm S-chaletta,Bergname
3851,798,Scalettapass,Bergname
3746,799,Piz Sarsura,Bergname
3847,800,Piz Nüglia,Bergname
3746,801,Fuorcla Ftur,Bergname
3542,802,Piz Linard,Bergname
3788,803,Scalettahora,Bergname
3746,804,Piz dal Botsch,Bergname
3851,805,Piz Grialetsch,Bergname
3746,806,Fuorcla Val dal Botsch,Bergname
3762,807,Piz Mezdi,Bergname
3762,808,Mot Falain,Bergname
3746,809,Piz Murters,Bergname
3542,810,Piz Mulain,Bergname
3847,811,Piz Foraz,Bergname
3746,812,Piz d'Urezza,Bergname
3762,813,Fuorcla Schombrina,Bergname
3851,814,Leidhora,Bergname
3851,815,Mittaghora,Bergname
3746,816,Fuorcla Sarsura,Bergname
3746,817,Piz Ftur,Bergname
3762,818,Piz Sampuoir,Bergname
3513,819,Lenzer Horn,Bergname
3542,819,Lenzer Horn,Bergname
3746,820,Sella da Pülschezza,Bergname
3851,821,Bäretällifurgga,Bergname
3762,822,Passo della Crocetta,Bergname
3762,823,S-charljoch,Bergname
3762,824,Cruschetta,Bergname
3762,826,Mot dal Gajer,Bergname
3762,827,Piz Laschadurella,Bergname
3851,828,Jöri Jegersch Nasa,Bergname
3851,829,Erezbärg,Bergname
3746,830,Piz Sarsura Pitschen,Bergname
3851,831,Chilbiritzenspitz,Bergname
3513,832,Piz Mosch,Bergname
